Detector - Descriptor,Frame,Numner of keypoints,Total elapsed time,
SHITOMASI-BRISK,Frame 1,1723,100.777235,
SHITOMASI-BRISK,Frame 2,1759,77.765112,
SHITOMASI-BRISK,Frame 3,1820,77.572233,
SHITOMASI-BRISK,Frame 4,1850,71.480203,
SHITOMASI-BRISK,Frame 5,1828,175.916125,
SHITOMASI-BRISK,Frame 6,1806,82.463173,
SHITOMASI-BRISK,Frame 7,1877,109.159009,
SHITOMASI-BRISK,Frame 8,1894,82.932642,
SHITOMASI-BRISK,Frame 9,1889,97.903756,
SHITOMASI-BRISK,Frame 10,1917,76.823803,
SHITOMASI-BRISK,Frame 11,1874,88.535027,
SHITOMASI-BRISK,Frame 12,1912,94.546960,
SHITOMASI-BRISK,Frame 13,1930,86.186391,
SHITOMASI-BRISK,Frame 14,1881,110.529498,
SHITOMASI-BRISK,Frame 15,1886,83.461739,
SHITOMASI-BRISK,Frame 16,1957,76.613079,
SHITOMASI-BRISK,Frame 17,1888,74.212792,
SHITOMASI-BRISK,Frame 18,1919,81.916603,
SHITOMASI-BRISK,Frame 19,2057,81.232657,
,,,,
SHITOMASI-BRIEF,Frame 1,1723,85.521679,
SHITOMASI-BRIEF,Frame 2,1759,69.781367,
SHITOMASI-BRIEF,Frame 3,1820,84.037358,
SHITOMASI-BRIEF,Frame 4,1850,76.447594,
SHITOMASI-BRIEF,Frame 5,1828,92.701271,
SHITOMASI-BRIEF,Frame 6,1806,85.407633,
SHITOMASI-BRIEF,Frame 7,1877,67.145049,
SHITOMASI-BRIEF,Frame 8,1894,71.671697,
SHITOMASI-BRIEF,Frame 9,1889,122.325163,
SHITOMASI-BRIEF,Frame 10,1917,74.674099,
SHITOMASI-BRIEF,Frame 11,1874,85.439675,
SHITOMASI-BRIEF,Frame 12,1912,80.757141,
SHITOMASI-BRIEF,Frame 13,1930,65.028700,
SHITOMASI-BRIEF,Frame 14,1881,67.603055,
SHITOMASI-BRIEF,Frame 15,1886,74.852325,
SHITOMASI-BRIEF,Frame 16,1957,74.047522,
SHITOMASI-BRIEF,Frame 17,1888,58.585165,
SHITOMASI-BRIEF,Frame 18,1919,82.404224,
SHITOMASI-BRIEF,Frame 19,2057,84.790757,
,,,,
SHITOMASI-ORB,Frame 1,1723,63.706237,
SHITOMASI-ORB,Frame 2,1759,63.348183,
SHITOMASI-ORB,Frame 3,1820,49.664029,
SHITOMASI-ORB,Frame 4,1850,62.533143,
SHITOMASI-ORB,Frame 5,1828,61.685946,
SHITOMASI-ORB,Frame 6,1806,52.240259,
SHITOMASI-ORB,Frame 7,1877,68.562164,
SHITOMASI-ORB,Frame 8,1894,59.073003,
SHITOMASI-ORB,Frame 9,1889,55.826517,
SHITOMASI-ORB,Frame 10,1917,66.110665,
SHITOMASI-ORB,Frame 11,1874,55.387378,
SHITOMASI-ORB,Frame 12,1912,52.553909,
SHITOMASI-ORB,Frame 13,1930,50.877318,
SHITOMASI-ORB,Frame 14,1881,53.847645,
SHITOMASI-ORB,Frame 15,1886,57.338718,
SHITOMASI-ORB,Frame 16,1957,79.393790,
SHITOMASI-ORB,Frame 17,1888,62.539621,
SHITOMASI-ORB,Frame 18,1919,64.727975,
SHITOMASI-ORB,Frame 19,2057,68.150503,
,,,,
SHITOMASI-FREAK,Frame 1,1723,151.693288,
SHITOMASI-FREAK,Frame 2,1759,153.090261,
SHITOMASI-FREAK,Frame 3,1820,157.853873,
SHITOMASI-FREAK,Frame 4,1850,147.801914,
SHITOMASI-FREAK,Frame 5,1828,186.954306,
SHITOMASI-FREAK,Frame 6,1806,169.195802,
SHITOMASI-FREAK,Frame 7,1877,149.387385,
SHITOMASI-FREAK,Frame 8,1894,176.307845,
SHITOMASI-FREAK,Frame 9,1889,181.394976,
SHITOMASI-FREAK,Frame 10,1917,149.259478,
SHITOMASI-FREAK,Frame 11,1874,153.869112,
SHITOMASI-FREAK,Frame 12,1912,148.898591,
SHITOMASI-FREAK,Frame 13,1930,167.667219,
SHITOMASI-FREAK,Frame 14,1881,176.948345,
SHITOMASI-FREAK,Frame 15,1886,229.468887,
SHITOMASI-FREAK,Frame 16,1957,423.628826,
SHITOMASI-FREAK,Frame 17,1888,283.177104,
SHITOMASI-FREAK,Frame 18,1919,169.477272,
SHITOMASI-FREAK,Frame 19,2057,201.627532,
 , , , ,
FAST-BRISK,Frame 1,5275,108.236125,
FAST-BRISK,Frame 2,5291,108.854521,
