detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
SHITOMASI-BRISK,Frame1,12.289100,9.666323,2.622777,
SHITOMASI-BRISK,Frame2,13.354725,10.059905,3.294820,
SHITOMASI-BRISK,Frame3,16.384452,10.076003,6.308449,
SHITOMASI-BRISK,Frame4,14.076445,9.454109,4.622337,
SHITOMASI-BRISK,Frame5,12.729945,9.964323,2.765622,
SHITOMASI-BRISK,Frame6,13.751074,10.762337,2.988737,
SHITOMASI-BRISK,Frame7,13.731432,8.818100,4.913331,
SHITOMASI-BRISK,Frame8,13.790126,8.951736,4.838390,
SHITOMASI-BRISK,Frame9,12.058994,8.863053,3.195941,
SHITOMASI-BRISK,Frame10,11.864185,10.648800,1.215385,
SHITOMASI-BRISK,Frame11,11.968197,8.766479,3.201718,
SHITOMASI-BRISK,Frame12,9.887113,8.750865,1.136248,
SHITOMASI-BRISK,Frame13,9.425037,9.779807,0.354770,
SHITOMASI-BRISK,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-BRISK,Frame15,8.321200,9.692020,1.370820,
SHITOMASI-BRISK,Frame16,8.898673,8.574856,0.323817,
SHITOMASI-BRISK,Frame17,11.030114,8.417025,2.613089,
SHITOMASI-BRISK,Frame18,8.535568,9.201081,0.665513,
 , , , , ,
SHITOMASI-BRIEF,Frame1,12.289100,9.609327,2.679773,
SHITOMASI-BRIEF,Frame2,13.354725,9.392825,3.961900,
SHITOMASI-BRIEF,Frame3,16.384452,8.729978,7.654474,
SHITOMASI-BRIEF,Frame4,14.076445,9.372315,4.704130,
SHITOMASI-BRIEF,Frame5,12.729945,9.783079,2.946866,
SHITOMASI-BRIEF,Frame6,13.751074,10.247727,3.503347,
SHITOMASI-BRIEF,Frame7,13.731432,8.639783,5.091649,
SHITOMASI-BRIEF,Frame8,13.790126,9.436072,4.354054,
SHITOMASI-BRIEF,Frame9,12.058994,8.370314,3.688680,
SHITOMASI-BRIEF,Frame10,11.864185,9.173706,2.690480,
SHITOMASI-BRIEF,Frame11,11.968197,8.641123,3.327074,
SHITOMASI-BRIEF,Frame12,9.887113,7.871190,2.015923,
SHITOMASI-BRIEF,Frame13,9.425037,10.210659,0.785622,
SHITOMASI-BRIEF,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-BRIEF,Frame15,8.321200,9.186746,0.865546,
SHITOMASI-BRIEF,Frame16,8.898673,8.550859,0.347815,
SHITOMASI-BRIEF,Frame17,11.030114,8.155890,2.874224,
SHITOMASI-BRIEF,Frame18,8.535568,8.864577,0.329009,
 , , , , ,
SHITOMASI-ORB,Frame1,12.289100,9.056337,3.232763,
SHITOMASI-ORB,Frame2,13.354725,9.026716,4.328009,
SHITOMASI-ORB,Frame3,16.384452,9.405618,6.978834,
SHITOMASI-ORB,Frame4,14.076445,9.354137,4.722309,
SHITOMASI-ORB,Frame5,12.729945,9.678158,3.051787,
SHITOMASI-ORB,Frame6,13.751074,10.676561,3.074513,
SHITOMASI-ORB,Frame7,13.731432,8.646120,5.085312,
SHITOMASI-ORB,Frame8,13.790126,9.416932,4.373194,
SHITOMASI-ORB,Frame9,12.058994,8.370314,3.688680,
SHITOMASI-ORB,Frame10,11.864185,10.103157,1.761028,
SHITOMASI-ORB,Frame11,11.968197,8.641123,3.327074,
SHITOMASI-ORB,Frame12,9.887113,8.307370,1.579744,
SHITOMASI-ORB,Frame13,9.425037,10.206101,0.781065,
SHITOMASI-ORB,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-ORB,Frame15,8.321200,9.692020,1.370820,
SHITOMASI-ORB,Frame16,8.898673,8.688037,0.210636,
SHITOMASI-ORB,Frame17,11.030114,8.155890,2.874224,
SHITOMASI-ORB,Frame18,8.535568,8.878960,0.343392,
 , , , , ,
